比赛名称,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
综合赛,7.76413,8.95592,10.14771,11.339509999999999,12.531310000000001,13.72309,14.91488,16.1067,17.29846,18.490270000000002,19.68207,20.873849999999997,22.06566,23.25745,24.449239999999996,25.64103,26.832819999999998,28.024610000000003,29.216410000000003,30.408209999999997,31.65175,32.956309999999995,34.26086,35.565400000000004,36.869969999999995,38.17451,39.47905,40.78362,42.08816,43.39273,44.69726000000001,46.001799999999996,47.30636,48.43314,49.55992,50.68672,51.8135,52.94028000000001,54.06287999999999,55.185469999999995,56.30803999999999,57.32848,58.34893999999999,59.36936000000001,60.3898,61.41023,62.43068999999999,64.01512,65.59957,67.57308,69.54661,71.40901,73.01938,74.53694999999999,76.90352,81.06907,82.02154,82.80984,84.84552,86.70376999999999,88.10008
高速路基本段专项赛,7.522739999999999,10.425469999999999,13.328210000000002,16.23094,19.133670000000002,22.0364,25.09368,28.19787,30.377979999999997,33.30717,35.03449,36.76184,38.489189999999994,40.21653,41.94386,43.67121,45.39855,47.12587,48.85322,50.58057,52.30791000000001,54.03523,55.76258999999999,57.48991000000001,59.217259999999996,60.679959999999994,62.51676,63.92644,65.51041999999998,66.69268,67.87492,69.03318,70.19143,71.32193,72.19806000000001,72.87273,73.59243000000001,74.44802,75.30479,76.18454,77.18356000000001,78.16117,79.17222000000001,80.18886,81.14373,81.96221,83.42634,85.22346999999999,86.04279999999999,87.10023,88.01563999999999,89.17969,89.79409,90.41381000000001,90.79746,91.22695999999999,91.52394000000001,91.68217999999999,91.81598,92.04861,92.37117
高速路汇入汇出区专项赛,7.9044,9.39887,10.893379999999999,12.38785,13.88234,15.376830000000002,16.87131,18.365799999999997,19.86029,21.354760000000002,22.84927,24.34374,25.83823,27.332720000000002,28.82721,30.321669999999994,31.816179999999996,33.31064,34.80515,36.39398,38.04309,39.69223,41.341350000000006,42.990500000000004,44.63963,46.28877,47.93787999999999,49.587,51.06662,52.54621000000001,54.03502999999999,55.66750999999999,57.299969999999995,58.93248,60.56537999999999,62.346709999999995,64.12805,65.90938999999999,67.6907,69.693,71.27505000000001,72.62046000000001,73.96585,75.31123,76.65665,78.00203,79.34741,80.57292,81.79838000000001,83.02474,84.3602,85.55856999999999,86.75694,87.93073999999999,88.81767,89.53170000000001,90.72459,92.16587,92.73566000000001,93.32578000000001,94.17741
交叉口专项赛,7.93267,9.73036,11.52806,13.32575,15.123429999999999,16.92112,18.71881,20.516510000000004,22.314199999999996,24.1119,25.330199999999998,26.548510000000004,27.766820000000003,28.985129999999998,30.203439999999993,31.421749999999996,32.640049999999995,33.85835,35.07666,36.294979999999995,37.62387,39.00025,40.376630000000006,41.753040000000006,43.12943,44.30243,45.4754,46.64839,47.82138,48.99436,50.167339999999996,51.34035,52.51392,53.98747999999999,55.465469999999996,56.99384,58.622260000000004,60.25063,61.87903,63.50742,65.03317,66.55889,68.08465,69.61037999999999,71.1361,72.58019999999999,74.02430000000001,75.46839000000001,76.91579999999999,78.35991,79.80399000000001,81.04644,82.35088,83.74065,84.96118000000001,85.86852,86.87095,87.71184000000001,88.70138999999999,90.58445,91.81168
