Scenario,Safety,Efficiency,Comfort,Total,mean_ttc,oppo_lane_rate,out_lane_rate,run_red,done_ornot,Mean_v,Distance_todest,a_x,d_x,a_y,d_y,aa_x,dd_x,aa_y,dd_y,turn_a,Note
1lanechange64,50.0,30.0,18.37,98.37,0.0,0.0,0.0,0,0,10.543949075165473,0,0.0,0.0,0.32346407043852515,-0.40375840646661665,0.0,0.0,3.757639951170454,-4.214776984309837,0.0,1.本工具从安全性(满分50分)、效率性(满分30分) 以及舒适性(满分20分)三个维度对规控器进行性能评价，总分满分100分。
0096lanechanging3,49.78,14.81,18.3,82.89,720.9325850406084,0.0,0.0,0,1,33.072475787321565,25.863088324753562,0.016287445433813757,-0.03599122647632973,0.6786435597423752,-1.4996344365140382,0.19504899044275356,-0.09320805723340836,8.127041268449684,-3.8836690513927885,0,2.用户可依据评价结果选取需要的场景，借助onsite官网提供的可视化工具对该场景下的驾驶场景进行复现。
1cutin72,50.0,30.0,18.8,98.8,34.37415708576567,0.0,0.0,0,0,15.796753754447892,0,0.0,0.0,0.08708810005892727,-0.5297240043353802,0.0,0.0,4.403461169222306,-4.7691022029616095,0.0,
Mean,49.93,24.94,18.49,93.35,251.7689140421247,0.0,0.0,0.0,0.3333333333333333,19.804392872311645,8.62102944158452,0.005429148477937919,-0.01199707549210991,0.3630652434132759,-0.811038949105345,0.06501633014758453,-0.03106935241113612,5.429380796280815,-4.289182746221412,0.0,
